milliseconds, deg_Centigrade, pascals, meters
315820,26,101555,0
316416,26,101558,0
317011,26,101563,0
317607,26,101562,0
318203,26,101556,0
318799,26,101560,0
319395,26,101562,0
319991,26,101561,0
320587,26,101563,0
321183,26,101563,0
321779,26,101560,0
322375,25,101561,0
322971,25,101564,0
323567,25,101557,0
324163,26,101562,0
324759,25,101557,0
325355,25,101552,0
325951,25,101561,0
326546,26,101565,0
327142,25,101559,0
327738,25,101561,0
328334,25,101557,0
328930,25,101561,0
329526,25,101558,0
330122,25,101559,0
330718,25,101559,0
331314,26,101560,0
331910,25,101563,0
332506,25,101559,0
333102,25,101559,0
333698,25,101555,0
334294,25,101558,0
334889,25,101557,0
335485,25,101559,0
336081,25,101562,0
336677,25,101553,0
337273,25,101559,0
337869,25,101550,0
338465,25,101561,0
339061,25,101563,0
339657,25,101559,0
340253,25,101553,0
340849,25,101549,0
341445,25,101558,0
342041,25,101561,0
342637,25,101560,0
343233,25,101561,0
343829,25,101559,0
344425,25,101559,0
345021,25,101557,0
345617,25,101556,0
346213,25,101555,0
346809,25,101558,0
347405,25,101558,0
348000,25,101558,0
348596,25,101555,0
349192,25,101557,0
349788,26,101561,0
350384,25,101559,0
350980,25,101561,0
351576,25,101557,0
352172,25,101562,0
352768,25,101557,0
353363,25,101563,0
353959,25,101557,0
354555,25,101558,0
355151,25,101556,0
355747,25,101560,0
356343,25,101554,0
356939,25,101555,0
357535,25,101561,0
358131,25,101557,0
358727,25,101560,0
359323,25,101557,0
359919,25,101558,0
360515,25,101558,0
361111,25,101558,0
361706,25,101559,0
362302,25,101560,0
362898,25,101557,0
363494,25,101558,0
364090,25,101562,0
364686,25,101556,0
365282,25,101560,0
365878,25,101563,0
366474,25,101561,0
367070,25,101560,0
367666,25,101560,0
368262,25,101566,0
368858,25,101557,0
369454,25,101564,0
370050,25,101558,0
370646,25,101564,-1
371243,26,101552,0
371838,25,101558,0
372434,26,101560,0
373030,25,101560,0
373626,25,101561,0
374222,25,101558,0
374818,25,101560,0
375414,25,101560,0
376010,25,101558,0
376606,25,101562,0
377202,25,101566,0
377798,25,101564,0
378394,25,101558,0
378990,25,101556,0
379586,25,101562,0
380182,25,101557,0
380778,25,101555,0
381374,25,101554,0
381970,25,101561,0
382566,25,101552,0
383162,25,101555,0
383758,25,101557,0
384354,25,101556,0
384950,25,101556,0
385546,25,101557,0
386142,25,101557,0
386738,25,101558,0
387334,25,101552,0
387930,25,101553,0
388526,25,101557,0
389122,25,101560,0
389716,25,101554,0
390312,25,101555,0
390908,25,101559,0
391504,25,101555,0
392100,25,101553,0
